lnRX1,lnRX2,datetime,BTC,ETH,LINK,XRP,SOL,DOGE
0.031124561,0.069006557,1609891200,36823.68,1212.64,17.29,0.2489,1.8753,0.010468
0.010075686,-0.027230258,1609977600,39498.92,1227.12,15.989,0.3243,2.3651,0.009767
0.051599138,0.030015752,1610064000,40637.23,1218.39,15.251,0.3206,3.222,0.009755
0.01827725,0.020144024,1610150400,40136.04,1279.96,17.589,0.3247,3.3776,0.010202
0.01759009,0.000933202,1610236800,38221.67,1257.96,16.228,0.3152,3.446,0.009841
0.03785071,0.019069315,1610323200,35408.46,1086.94,14.657,0.2877,3.0988,0.008801
-0.025091555,-0.031609371,1610409600,34056.9,1050.82,13.982,0.2928,3.6276,0.008067
0.018664054,0.012987758,1610496000,37421.07,1130.4,15.952,0.3059,3.5291,0.008675
0.027817489,0.011715913,1610582400,39163.31,1234.86,18.023,0.297,3.2949,0.009419
0.06690269,0.081612297,1610668800,36755.24,1168.79,20.766,0.2803,3.2464,0.00937
0.053297524,0.053700594,1610755200,36025.66,1230.19,20.13,0.2797,3.4259,0.009245
0.01631537,-0.006135781,1610841600,35869.83,1233.71,23.286,0.2777,3.8328,0.00912
0.013460521,0.009574696,1610928000,36686.86,1262.99,22.069,0.2857,3.7933,0.009197
0.068588129,0.02126865,1611014400,35891.03,1367.51,20.585,0.2942,3.6276,0.009048
0.101209856,0.063167393,1611100800,35500,1379.24,21.867,0.296,3.7133,0.00907
-0.144540428,-0.126705514,1611187200,30879.97,1111.23,18.441,0.2684,2.9793,0.008148
0.091672898,0.041691822,1611273600,32986.34,1234.55,21.578,0.2724,3.3286,0.00852
-0.043345201,0.019361905,1611360000,32086.48,1235.66,24.824,0.272,3.5094,0.008586
-0.094273938,-0.083870429,1611446400,32275.63,1394.24,24.831,0.2739,3.6369,0.008724
-0.018812774,0.010355659,1611532800,32253.68,1318.61,23.367,0.2678,3.7044,0.008355
0.020390737,-0.01268689,1611619200,32474.14,1368.4,23.132,0.2686,4.0447,0.008234
0.096928721,0.033580053,1611705600,30381.04,1238.55,20.989,0.2507,3.6727,0.007416
-0.067667312,-0.062268799,1611792000,33399.75,1329.86,23.02,0.2645,3.8139,0.036324
-0.018983433,0.015073759,1611878400,34269.35,1381.99,22.781,0.2833,3.8409,0.045883
0.02726901,0.003022357,1611964800,34289.85,1380.48,23.699,0.4445,4.2462,0.02799
0.013420192,0.055820096,1612051200,33126.21,1313.12,22.609,0.4959,4.2628,0.036885
0.069865779,0.02360068,1612137600,33546.09,1376.48,22.928,0.3714,4.6234,0.034835
0.024614542,-0.01488009,1612224000,35504.06,1516.26,23.725,0.3734,5.2529,0.031357
-0.035511277,-0.061700436,1612310400,37652.51,1666,25.131,0.398,5.7373,0.03736
-0.06522138,-0.073397824,1612396800,36976.93,1596,24.519,0.4462,6.4358,0.052782
0.036059216,0.022124589,1612483200,38362.65,1721.16,26.352,0.4535,6.7101,0.04683
-0.033325979,-0.019856476,1612569600,39249.54,1679.34,25.102,0.4442,6.1325,0.057716
-0.110085581,-0.174390564,1612656000,38849.25,1611.99,24.777,0.4188,6.7037,0.07803
0.061960483,0.009986665,1612742400,46451.32,1755.61,25.465,0.4522,7.8917,0.079054
-0.139084535,-0.140383743,1612828800,46492.54,1770.79,27.667,0.4773,7.8335,0.070186
0.024865098,0.060067403,1612915200,44850,1743.31,26.853,0.5055,9.1102,0.072645
0.094496254,0.067983555,1613001600,48060.21,1789.32,27.895,0.5292,9.2215,0.069763
-0.012180859,-0.021638206,1613088000,47361.03,1843.08,30.713,0.6107,9.2344,0.069928
0.022924708,0.033927171,1613174400,47221.62,1818.02,34.316,0.6348,8.7627,0.066373
-0.014849745,-0.014063229,1613260800,48655.21,1803.59,33.215,0.5935,8.7306,0.062711
-0.023106323,-0.034599946,1613347200,47981.58,1781.34,32.683,0.55,8.8695,0.056511
-0.048625761,-0.023530497,1613433600,49197.94,1784.31,32.004,0.5203,8.3036,0.053591
-0.009297931,0.017630231,1613520000,52194.62,1849.86,32.289,0.536,8.2533,0.049527
0.01258794,0.013272601,1613606400,51619.7,1941.26,32.524,0.5328,8.9956,0.058838
-0.005925936,-0.001643761,1613692800,56004.1,1958.58,34.766,0.5667,11.5096,0.05519
-0.03494891,-0.05354945,1613779200,55917.41,1914.58,33.977,0.5117,9.9965,0.054153
0.005043803,0.018296543,1613865600,57487.43,1934.75,34.13,0.5459,11.0851,0.056063
-0.002136565,-0.001421128,1613952000,54121.1,1778.3,31.486,0.5668,14.3413,0.053657
0.006594599,-0.006372477,1614038400,48930,1579.75,25.986,0.4765,15.2413,0.04768
0.051212472,0.041171154,1614124800,49702.03,1623.98,28.101,0.4687,17.2227,0.056731
0.028713328,-0.007444545,1614211200,47089.37,1482.09,24.721,0.4358,13.8484,0.049879
0.014063738,0.004096763,1614297600,46313.13,1445.28,25.196,0.4279,13.5941,0.050426
0.027472809,0.019875583,1614384000,46102.63,1458.65,26.193,0.4361,13.19,0.050115
0.010340229,-0.001126456,1614470400,45163.36,1419.77,24.714,0.4159,13.1072,0.048171
0.078180532,0.051489389,1614556800,49592.7,1571.2,27.735,0.4458,15.0036,0.050613
-0.028482112,-0.031537378,1614643200,48450.57,1486.28,28.51,0.4361,13.9565,0.050227
0.04091906,-0.001503693,1614729600,50373.75,1568.63,29.854,0.4486,14.0941,0.050425
0.004214214,-0.019756598,1614816000,48385.77,1540.69,27.721,0.4816,13.0784,0.049999
-0.011166412,-0.05064725,1614902400,48770.57,1529.88,27.862,0.4551,12.5659,0.04953
-0.04915046,-0.019613595,1614988800,48908.21,1651.73,28.166,0.463,13.0512,0.05093
0.024217621,0.048446491,1615075200,50995.27,1727.23,28.603,0.466,13.845,0.052056
-0.017437915,-0.02461538,1615161600,52429.43,1834.3,31.892,0.4749,13.6344,0.063076
-0.044949244,-0.010696815,1615248000,54917.78,1873.31,31.539,0.4858,14.9102,0.058013
-0.079502133,-0.111689651,1615334400,55947.98,1796.8,29.919,0.4621,14.2333,0.055951
0.024794871,0.005595986,1615420800,57844.52,1829,30.175,0.4527,16.0763,0.056056
0.002722634,-0.016774691,1615507200,57291.03,1767.44,28.393,0.4399,14.5742,0.055367
-0.01175909,0.003129724,1615593600,61267.41,1924.94,29.8,0.4586,15.3216,0.062816
0.009170419,0.046064411,1615680000,59037.12,1850.54,28.57,0.4394,14.4642,0.058168
0.056310677,0.039396818,1615766400,55646.61,1794.89,27.525,0.4361,14.184,0.05708
-0.014847163,-0.029668668,1615852800,56954.19,1807.25,27.947,0.4607,13.6639,0.058765
-0.057890191,-0.045341466,1615939200,58959,1825.77,31.095,0.4707,14.2288,0.05799
-0.004134553,0.015448408,1616025600,57700.01,1777.54,29.444,0.4696,14.2183,0.057427
0.028284192,0.018414044,1616112000,58089.11,1811.04,29.806,0.4668,14.1535,0.058323
-0.024969515,-0.017784203,1616198400,58145.61,1807.35,29.687,0.5265,14.1892,0.058961
2.37E-05,-0.021799372,1616284800,57415.18,1784.67,29.25,0.5176,14.3395,0.05758
0.023523903,0.011462765,1616371200,54129.56,1681.69,27.286,0.5449,14.7957,0.054912
-0.018477671,-0.007395814,1616457600,54400,1669.33,26.802,0.5501,14.142,0.053431
-0.046474206,-0.078806267,1616544000,52311.54,1582.11,24.872,0.48,13.5875,0.051532
-0.024302269,-0.024331591,1616630400,51325.21,1587.5,25.561,0.511,12.9776,0.051311
0.010031917,-0.002905282,1616716800,55030,1699.13,27.422,0.5638,14.7725,0.053992
0.000628936,0.018298395,1616803200,55828,1714.34,26.913,0.5479,16.4803,0.054474
0.01392627,-0.004206597,1616889600,55805.08,1688.3,26.687,0.5463,18.1022,0.053726
0.062175918,0.041964199,1616976000,57677.64,1818.44,28.06,0.5662,18.9811,0.054191
0.024994801,0.003754396,1617062400,58794.16,1843.43,27.865,0.5629,19.0933,0.054096
-0.003621224,-0.022912665,1617148800,58807.24,1923.07,29.479,0.5708,19.4044,0.053814
-0.000427618,-0.005796842,1617235200,58794.01,1969.74,30.107,0.5714,19.0497,0.062151
-0.025346946,-0.027071252,1617321600,59031.36,2138.01,32.552,0.6078,19.8353,0.057769
0.014628948,0.048933836,1617408000,57134.65,2012.63,29.322,0.579,22.4904,0.055574
-0.005634678,0.021725397,1617494400,58234.61,2077.73,30.791,0.6353,23.7879,0.057457
-0.008516831,-0.004971781,1617580800,59243.39,2110.35,32.459,0.9176,23.018,0.060085
